Date,Adj Close,daily_return
03-01-17,58.2919693,
04-01-17,58.031147,-0.004474412
05-01-17,58.031147,0
06-01-17,58.5341568,0.008667928
09-01-17,58.34785461,-0.003182794
10-01-17,58.32922363,-0.000319309
11-01-17,58.86016083,0.009102422
12-01-17,58.31990814,-0.00917858
13-01-17,58.40374756,0.001437578
17-01-17,58.24539185,-0.002711396
18-01-17,58.217453,-0.000479675
19-01-17,58.031147,-0.003200174
20-01-17,58.44101334,0.007062868
23-01-17,58.64592743,0.003506341
24-01-17,59.16756439,0.008894683
25-01-17,59.31659698,0.002518823
26-01-17,59.86616135,0.009264934
27-01-17,61.27269363,0.023494613
30-01-17,60.66723633,-0.009881356
31-01-17,60.22012329,-0.007369926
01-02-17,59.22344589,-0.016550571
02-02-17,58.84153366,-0.006448666
03-02-17,59.31659698,0.008073605
06-02-17,59.27933502,-0.000628188
07-02-17,59.08372879,-0.003299737
08-02-17,58.99990082,-0.0014188
09-02-17,59.6705513,0.011366976
10-02-17,59.61466599,-0.000936564
13-02-17,60.28534317,0.011250205
14-02-17,60.51025009,0.003730706
15-02-17,60.47276306,-0.000619515
16-02-17,60.46337509,-0.000155243
17-02-17,60.55709839,0.001550084
21-02-17,60.4352684,-0.00201182
22-02-17,60.31344223,-0.002015813
23-02-17,60.55709839,0.004039832
24-02-17,60.55709839,0
27-02-17,60.19161987,-0.006035271
28-02-17,59.95733643,-0.003892293
01-03-17,60.856987,0.015004846
02-03-17,59.98545837,-0.01432093
03-03-17,60.2103653,0.003749357
06-03-17,60.22910309,0.000311205
07-03-17,60.35093689,0.002022839
08-03-17,60.90383148,0.009161326
09-03-17,60.66018295,-0.004000545
10-03-17,60.84760666,0.003089732
13-03-17,60.64144516,-0.003388161
14-03-17,60.36030197,-0.004636156
15-03-17,60.678936,0.005278867
16-03-17,60.57584381,-0.001698978
17-03-17,60.79138184,0.003558151
20-03-17,60.84760666,0.000924881
21-03-17,60.17287445,-0.011088887
22-03-17,60.94131851,0.012770606
23-03-17,60.79138184,-0.002460345
24-03-17,60.89447021,0.001695773
27-03-17,61.00691223,0.001846506
28-03-17,61.18498611,0.002918913
29-03-17,61.35366821,0.00275692
30-03-17,61.5785675,0.003665621
31-03-17,61.71912766,0.002282615
03-04-17,61.42864227,-0.00470657
04-04-17,61.59731674,0.00274586
